Date,VIX,SPX
11/5/1990,29.85,314.59
11/6/1990,29.11,311.62
11/7/1990,30.87,306.01
11/8/1990,30.79,307.61
11/9/1990,26.96,313.74
11/12/1990,25.6,319.48
11/13/1990,24.58,317.67
11/14/1990,22.89,320.4
11/15/1990,22.57,317.02
11/16/1990,21.34,317.12
11/19/1990,20.95,319.34
11/20/1990,20.09,315.31
11/21/1990,21.09,316.03
11/23/1990,20.98,315.1
11/26/1990,22.76,316.51
11/27/1990,22.86,318.1
11/28/1990,22.96,317.95
11/29/1990,23.91,316.42
11/30/1990,22.16,322.22
12/3/1990,22.29,324.1
12/4/1990,22.03,326.35
12/5/1990,20.94,329.92
12/6/1990,22.62,329.07
12/7/1990,22.59,327.75
12/10/1990,23.58,328.89
12/11/1990,23.75,326.44
12/12/1990,21.28,330.19
12/13/1990,23.05,329.34
12/14/1990,23.85,326.82
12/17/1990,24.85,326.02
12/18/1990,23.11,330.05
12/19/1990,23.08,330.2
12/20/1990,23.13,330.12
12/21/1990,22.66,331.75
12/24/1990,24.03,329.9
12/26/1990,24.18,330.85
12/27/1990,24.81,328.29
12/28/1990,25.05,328.72
12/31/1990,26.38,330.22
1/2/1991,26.62,326.45
1/3/1991,27.93,321.91
1/4/1991,27.19,321
1/7/1991,28.95,315.44
1/8/1991,30.38,314.9
1/9/1991,33.3,311.49
1/10/1991,31.33,314.53
1/11/1991,32.63,315.23
1/14/1991,36.2,312.49
1/15/1991,36.16,313.73
1/16/1991,33.2,316.17
1/17/1991,27.45,327.97
1/18/1991,25.39,332.23
1/21/1991,24.33,331.06
1/22/1991,24.9,328.31
1/23/1991,23.92,330.21
1/24/1991,22.86,334.78
1/25/1991,22.2,336.07
1/28/1991,23.05,336.03
1/29/1991,23.17,335.84
1/30/1991,21.37,340.91
1/31/1991,20.91,343.93
2/1/1991,21.04,343.05
2/4/1991,21.86,348.34
2/5/1991,21.46,351.26
2/6/1991,22.68,358.07
2/7/1991,23.6,356.52
2/8/1991,23.38,359.35
2/11/1991,22.56,368.58
2/12/1991,22.26,365.5
2/13/1991,20.86,369.02
2/14/1991,21.48,364.22
2/15/1991,19.57,369.06
2/19/1991,19.84,369.39
2/20/1991,22.26,365.14
2/21/1991,20.78,364.97
2/22/1991,21.01,365.65
2/25/1991,22.86,367.26
2/26/1991,20.38,362.81
2/27/1991,21.26,367.74
2/28/1991,21.23,367.07
3/4/1991,20.86,369.33
3/5/1991,20.45,376.72
3/6/1991,20.55,376.17
3/7/1991,21.05,375.91
3/8/1991,20.81,374.95
3/11/1991,20.88,372.99
3/12/1991,18.82,370.03
3/13/1991,16.09,374.57
3/14/1991,14.94,373.5
3/15/1991,14.9,373.59
3/18/1991,15.79,372.11
3/19/1991,16.11,366.59
3/20/1991,16.04,367.92
3/21/1991,16.86,366.58
3/22/1991,16.49,367.48
3/25/1991,16.76,369.83
3/26/1991,16.31,376.3
3/27/1991,16.55,375.35
3/28/1991,16.88,375.22
4/1/1991,17.42,371.3
4/2/1991,17.4,379.5
4/3/1991,17.61,378.94
4/4/1991,18.01,379.77
4/5/1991,17.63,375.36
4/8/1991,17.41,378.66
4/9/1991,20.12,373.56
4/10/1991,19.73,373.15
4/11/1991,17.24,377.63
4/12/1991,18.45,380.4
4/15/1991,16.5,381.19
4/16/1991,15.82,387.62
4/17/1991,15.47,390.45
4/18/1991,16.26,388.46
4/19/1991,15.68,384.2
4/22/1991,16.78,380.95
4/23/1991,17.02,381.76
4/24/1991,16.72,382.76
4/25/1991,17.15,379.25
4/26/1991,17.27,379.02
4/29/1991,18.27,373.66
4/30/1991,18.24,375.34
5/1/1991,17.77,380.29
5/2/1991,17.52,380.52
5/3/1991,17.24,380.8
5/6/1991,17.92,380.08
5/7/1991,17.46,377.32
5/8/1991,17.78,378.51
5/9/1991,17.17,383.25
5/10/1991,17.54,375.74
5/13/1991,17.66,376.76
5/14/1991,18,371.62
5/15/1991,18.38,368.57
5/16/1991,17.24,372.19
5/17/1991,16.64,372.39
5/20/1991,17.1,372.28
5/21/1991,16.07,375.35
5/22/1991,16.16,376.19
5/23/1991,16.11,374.96
5/24/1991,15.23,377.49
5/28/1991,15.67,381.94
5/29/1991,15.9,382.79
5/30/1991,16.02,386.96
5/31/1991,15.93,389.83
6/3/1991,16.87,388.06
6/4/1991,16.17,387.74
6/5/1991,16.4,385.09
6/6/1991,16.93,383.63
6/7/1991,16.98,379.43
6/10/1991,17.47,378.57
6/11/1991,17.32,381.05
6/12/1991,17.72,376.65
6/13/1991,16.99,377.63
6/14/1991,15.98,382.29
6/17/1991,15.5,380.13
6/18/1991,16.14,378.59
6/19/1991,17.44,375.09
6/20/1991,16.75,375.42
6/21/1991,16.51,377.75
6/24/1991,18.28,370.94
6/25/1991,17.85,370.65
6/26/1991,17.98,371.59
6/27/1991,17.87,374.4
6/28/1991,19.55,371.16
7/1/1991,18.64,377.92
7/2/1991,17.63,377.47
7/3/1991,19.47,373.33
7/5/1991,18.35,374.08
7/8/1991,20.29,377.94
7/9/1991,19.76,376.11
7/10/1991,19.19,375.74
7/11/1991,17.39,376.97
7/12/1991,18.29,380.25
7/15/1991,17.78,382.39
7/16/1991,17.49,381.54
7/17/1991,17.52,381.18
7/18/1991,15.77,385.37
7/19/1991,15.5,384.22
7/22/1991,16.9,382.88
7/23/1991,16.58,379.42
7/24/1991,16.41,378.64
7/25/1991,15.74,380.96
7/26/1991,15.45,380.93
7/29/1991,15.67,383.15
7/30/1991,15.47,386.69
7/31/1991,15.18,387.81
8/1/1991,15.47,387.12
8/2/1991,15.26,387.18
8/5/1991,15.92,385.06
8/6/1991,15.54,390.62
8/7/1991,15.56,390.56
8/8/1991,15.98,389.32
8/9/1991,15.45,387.12
8/12/1991,15.26,388.02
8/13/1991,14.73,389.62
8/14/1991,15.09,389.9
8/15/1991,15.19,389.33
8/16/1991,16.01,385.58
8/19/1991,21.19,376.47
8/20/1991,18.86,379.43
8/21/1991,15.62,390.59
8/22/1991,14.59,391.33
8/23/1991,14.41,394.17
8/26/1991,14.81,393.85
8/27/1991,15.46,393.06
8/28/1991,15.31,396.64
8/29/1991,14.82,396.47
8/30/1991,14.46,395.43
9/3/1991,16.57,392.15
9/4/1991,17.18,389.97
9/5/1991,17.31,389.14
9/6/1991,16.76,389.1
9/9/1991,17.73,388.57
9/10/1991,18.22,384.56
9/11/1991,17.96,385.09
9/12/1991,16.21,387.34
9/13/1991,17.88,383.59
9/16/1991,17.82,385.78
9/17/1991,17.68,385.5
9/18/1991,17.56,386.94
9/19/1991,17.56,387.56
9/20/1991,17.08,387.92
9/23/1991,16.38,385.92
9/24/1991,16.04,387.71
9/25/1991,15.68,386.88
9/26/1991,15.35,386.49
9/27/1991,16.31,385.9
9/30/1991,15.85,387.86
10/1/1991,14.81,389.2
10/2/1991,15.81,388.26
10/3/1991,17.04,384.47
10/4/1991,15.63,381.25
10/7/1991,18.58,379.5
10/8/1991,17.81,380.67
10/9/1991,18.54,376.8
10/10/1991,17.8,380.55
10/11/1991,17.6,381.45
10/14/1991,16.71,386.47
10/15/1991,16.22,391.01
10/16/1991,14.85,392.8
10/17/1991,16.32,391.92
10/18/1991,15.87,392.5
10/21/1991,16.66,390.02
10/22/1991,16.55,387.83
10/23/1991,16.26,387.94
10/24/1991,15.62,385.07
10/25/1991,15.75,384.2
10/28/1991,15.45,389.52
10/29/1991,15.55,391.48
10/30/1991,15.46,392.96
10/31/1991,15.48,392.45
11/1/1991,15.6,391.32
11/4/1991,16.35,390.28
11/5/1991,16.48,388.71
11/6/1991,16.47,389.97
11/7/1991,15.97,393.72
11/8/1991,15.43,392.89
11/11/1991,14.89,393.12
11/12/1991,14.04,396.74
11/13/1991,13.95,397.41
11/14/1991,13.96,397.15
11/15/1991,21.18,382.62
11/18/1991,18.28,385.24
11/19/1991,20.34,379.42
11/20/1991,20.4,378.53
11/21/1991,19.11,380.06
11/22/1991,21.2,376.14
11/25/1991,21.92,375.34
11/26/1991,19.8,377.96
11/27/1991,19.84,376.55
11/29/1991,20.26,375.22
12/2/1991,20.18,381.4
12/3/1991,19.7,380.96
12/4/1991,19.54,380.07
12/5/1991,20.19,377.39
12/6/1991,19.04,379.1
12/9/1991,19.74,378.26
12/10/1991,19.89,377.9
12/11/1991,20.57,377.7
12/12/1991,19.08,381.55
12/13/1991,17.88,384.47
12/16/1991,17.62,384.46
12/17/1991,18.12,382.74
12/18/1991,17.78,383.48
12/19/1991,17.96,382.52
12/20/1991,17.65,387.04
12/23/1991,16.61,396.82
12/24/1991,15.67,399.33
12/26/1991,15.44,404.84
12/27/1991,15.7,406.46
12/30/1991,17.63,415.14
12/31/1991,19.31,417.09
1/2/1992,18.95,417.26
1/3/1992,18.75,419.34
1/6/1992,18.96,417.96
1/7/1992,19.23,417.4
1/8/1992,18.72,418.1
1/9/1992,18.96,417.61
1/10/1992,18.45,415.1
1/13/1992,16.8,414.34
1/14/1992,17.01,420.44
1/15/1992,17.39,420.77
1/16/1992,17.64,418.21
1/17/1992,16.32,418.86
1/20/1992,16.42,416.36
1/21/1992,17.92,412.64
1/22/1992,16.75,418.13
1/23/1992,16.46,414.96
1/24/1992,16.24,415.48
1/27/1992,16.67,414.99
1/28/1992,17.67,414.96
1/29/1992,17.62,410.34
1/30/1992,17.49,411.62
1/31/1992,17.4,408.79
2/3/1992,18.2,409.53
2/4/1992,17.96,413.85
2/5/1992,18.22,413.84
2/6/1992,18.79,413.82
2/7/1992,18.51,411.09
2/10/1992,18.56,413.77
2/11/1992,17.7,413.76
2/12/1992,17.37,417.13
2/13/1992,17.45,413.69
2/14/1992,17.03,412.48
2/18/1992,18.22,407.38
2/19/1992,17.16,408.26
2/20/1992,16.72,413.9
2/21/1992,16.87,411.46
2/24/1992,17.13,412.27
2/25/1992,16.35,410.45
2/26/1992,16.64,415.35
2/27/1992,16.51,413.86
2/28/1992,16.68,412.7
3/2/1992,16.88,412.45
3/3/1992,17.26,412.85
3/4/1992,17.55,409.33
3/5/1992,18.47,406.51
3/6/1992,19.75,404.44
3/9/1992,19.68,405.21
3/10/1992,18.68,406.89
3/11/1992,19.79,404.03
3/12/1992,19.72,403.89
3/13/1992,18.35,405.84
3/16/1992,18.46,406.39
3/17/1992,16.79,409.58
3/18/1992,16.69,409.15
3/19/1992,14.57,409.8
3/20/1992,16.31,411.3
3/23/1992,16.73,409.91
3/24/1992,16.32,408.88
3/25/1992,16.19,407.52
3/26/1992,15.69,407.86
3/27/1992,16.02,403.5
3/30/1992,15.97,403
3/31/1992,16.18,403.69
4/1/1992,16.48,404.23
4/2/1992,17.06,400.5
4/3/1992,17.46,401.55
4/6/1992,16.72,405.59
4/7/1992,18.81,398.06
4/8/1992,20.15,394.5
4/9/1992,17.89,400.64
4/10/1992,16.85,404.29
4/13/1992,15.65,406.08
4/14/1992,15.98,412.39
4/15/1992,16.03,416.28
4/16/1992,14.85,416.04
4/20/1992,15.93,410.18
4/21/1992,16.53,410.26
4/22/1992,15.96,409.81
4/23/1992,15.83,411.6
4/24/1992,16.31,409.02
4/27/1992,16.49,408.45
4/28/1992,16.24,409.11
4/29/1992,15.95,412.02
4/30/1992,15.53,414.95
5/1/1992,16.61,412.53
5/4/1992,16.92,416.91
5/5/1992,16.66,416.84
5/6/1992,16.81,416.79
5/7/1992,16.54,415.85
5/8/1992,15.65,416.05
5/11/1992,15.17,418.49
5/12/1992,15.68,416.29
5/13/1992,15.19,416.45
5/14/1992,15.49,413.14
5/15/1992,14.82,410.09
5/18/1992,14.62,412.81
5/19/1992,13.57,416.37
5/20/1992,13.62,415.39
5/21/1992,13.92,412.6
5/22/1992,13.73,414.02
5/26/1992,14.92,411.41
5/27/1992,13.99,412.17
5/28/1992,13.77,416.74
5/29/1992,13.86,415.35
6/1/1992,14.43,417.3
6/2/1992,14.57,413.5
6/3/1992,14.35,414.59
6/4/1992,13.66,413.26
6/5/1992,14.65,413.48
6/8/1992,15.45,413.36
6/9/1992,15.97,410.06
6/10/1992,16.62,407.25
6/11/1992,16.29,409.05
6/12/1992,14.95,409.76
6/15/1992,14.76,410.29
6/16/1992,15.22,408.32
6/17/1992,18.08,402.26
6/18/1992,18.2,400.96
6/19/1992,16.31,403.67
6/22/1992,16.66,403.4
6/23/1992,14.53,404.04
6/24/1992,14.4,403.83
6/25/1992,14.4,403.12
6/26/1992,14.67,403.45
6/29/1992,13.21,408.94
6/30/1992,13.35,408.14
7/1/1992,13.34,412.88
7/2/1992,13.88,411.77
7/6/1992,14.87,413.84
7/7/1992,15.83,409.16
7/8/1992,15.53,410.28
7/9/1992,14.6,414.23
7/10/1992,13.7,414.62
7/13/1992,14.01,414.87
7/14/1992,12.85,417.68
7/15/1992,12.52,417.1
7/16/1992,12.27,417.54
7/17/1992,12.6,415.62
7/20/1992,12.66,413.75
7/21/1992,12.6,413.76
7/22/1992,13.57,410.93
7/23/1992,13.33,412.08
7/24/1992,13.37,411.6
7/27/1992,13.9,411.54
7/28/1992,13.05,417.52
7/29/1992,13.44,422.23
7/30/1992,13.5,423.92
7/31/1992,13.17,424.22
8/3/1992,13.83,425.09
8/4/1992,13.58,424.36
8/5/1992,13.82,422.19
8/6/1992,14.23,420.59
8/7/1992,13.94,418.88
8/10/1992,14.51,419.42
8/11/1992,15.09,418.9
8/12/1992,14.88,417.78
8/13/1992,15.34,417.73
8/14/1992,14.66,419.91
8/17/1992,14.61,420.74
8/18/1992,13.84,421.34
8/19/1992,14.35,418.19
8/20/1992,14.48,418.26
8/21/1992,15.01,414.85
8/24/1992,15.31,410.72
8/25/1992,15.88,411.61
8/26/1992,14.5,413.51
8/27/1992,13.66,413.54
8/28/1992,13.14,414.84
8/31/1992,13.58,414.03
9/1/1992,13.4,416.07
9/2/1992,12.73,417.98
9/3/1992,12.88,417.98
9/4/1992,12.98,417.08
9/8/1992,13.65,414.44
9/9/1992,13.36,416.36
9/10/1992,12.92,419.95
9/11/1992,12.47,419.58
9/14/1992,13,425.27
9/15/1992,13.63,419.77
9/16/1992,14.72,419.92
9/17/1992,14.31,419.93
9/18/1992,13.74,422.93
9/21/1992,13.45,422.14
9/22/1992,13.88,417.14
9/23/1992,13.83,417.44
9/24/1992,13.44,418.47
9/25/1992,14.8,414.35
9/28/1992,15.19,416.62
9/29/1992,14.97,416.8
9/30/1992,14.28,417.8
10/1/1992,16.31,416.29
10/2/1992,17.79,410.47
10/5/1992,20.01,407.57
10/6/1992,19.42,407.18
10/7/1992,20.23,404.25
10/8/1992,19.26,407.75
10/9/1992,20.51,402.66
10/12/1992,19.49,407.44
10/13/1992,17.9,409.3
10/14/1992,18.42,409.37
10/15/1992,17.11,409.6
10/16/1992,17.01,411.73
10/19/1992,17.31,414.98
10/20/1992,16.87,415.48
10/21/1992,16.62,415.67
10/22/1992,15.84,414.9
10/23/1992,16.46,414.1
10/26/1992,16.32,418.16
10/27/1992,16.24,418.49
10/28/1992,15.95,420.13
10/29/1992,15.47,420.86
10/30/1992,16.15,418.68
11/2/1992,16.67,422.75
11/3/1992,17.33,419.92
11/4/1992,16.28,417.11
11/5/1992,15.38,418.34
11/6/1992,14.69,417.58
11/9/1992,14.23,418.59
11/10/1992,14.37,418.62
11/11/1992,13.99,422.2
11/12/1992,14.37,422.87
11/13/1992,14.61,422.43
11/16/1992,14.86,420.68
11/17/1992,15.01,419.27
11/18/1992,14.55,422.85
11/19/1992,14.33,423.61
11/20/1992,13.67,426.65
11/23/1992,13.4,425.12
11/24/1992,12.66,427.59
11/25/1992,12.5,429.19
11/27/1992,12.58,430.16
11/30/1992,13.01,431.35
12/1/1992,12.8,430.78
12/2/1992,12.56,429.89
12/3/1992,12.03,429.91
12/4/1992,11.81,432.06
12/7/1992,12,435.31
12/8/1992,11.73,436.99
12/9/1992,12.58,435.65
12/10/1992,12.75,434.64
12/11/1992,12.34,433.73
12/14/1992,12.66,432.84
12/15/1992,12.41,432.57
12/16/1992,12.58,431.52
12/17/1992,12.14,435.43
12/18/1992,11.66,441.28
12/21/1992,11.65,440.7
12/22/1992,11.75,440.31
12/23/1992,11.51,439.03
12/24/1992,11.57,439.77
12/28/1992,12.22,439.15
12/29/1992,12.29,437.98
12/30/1992,12.6,438.82
12/31/1992,12.57,435.71
1/4/1993,13.36,435.38
1/5/1993,13.35,434.34
1/6/1993,13.37,434.52
1/7/1993,14.72,430.73
1/8/1993,13.77,429.05
1/11/1993,12.86,430.95
1/12/1993,12.78,431.04
1/13/1993,12.42,433.03
1/14/1993,11.99,435.94
1/15/1993,11.57,437.15
1/18/1993,11.49,436.84
1/19/1993,12.06,435.13
1/20/1993,12.15,433.37
1/21/1993,11.69,435.49
1/22/1993,11.3,436.11
1/25/1993,11.38,440.01
1/26/1993,11.45,439.95
1/27/1993,12.01,438.1
1/28/1993,12.04,438.66
1/29/1993,12.42,438.78
2/1/1993,12.33,442.52
2/2/1993,12.25,442.55
2/3/1993,12.12,447.2
2/4/1993,12.29,449.56
2/5/1993,12.9,448.93
2/8/1993,13.22,447.85
2/9/1993,13.48,445.33
2/10/1993,13.43,446.23
2/11/1993,12.69,447.66
2/12/1993,12.38,444.58
2/16/1993,15.76,433.91
2/17/1993,15.9,433.3
2/18/1993,15.56,431.9
2/19/1993,15.02,434.22
2/22/1993,14.7,435.24
2/23/1993,15.04,434.8
2/24/1993,14.72,440.87
2/25/1993,13.76,442.34
2/26/1993,13.16,443.38
3/1/1993,13.6,442.01
3/2/1993,12.49,447.9
3/3/1993,13.13,449.26
3/4/1993,13.44,447.34
3/5/1993,14.08,446.11
3/8/1993,16.22,454.71
3/9/1993,14.17,454.4
3/10/1993,13.91,456.34
3/11/1993,14.26,453.72
3/12/1993,15.66,449.83
3/15/1993,14.74,451.43
3/16/1993,14.51,451.37
3/17/1993,14.53,448.31
3/18/1993,14.17,451.89
3/19/1993,13.23,450.18
3/22/1993,13.66,448.88
3/23/1993,13.02,448.76
3/24/1993,12.44,448.07
3/25/1993,12.08,450.88
3/26/1993,12.21,447.78
3/29/1993,12.63,450.69
3/30/1993,12.23,451.97
3/31/1993,12.53,451.67
4/1/1993,13.02,450.3
4/2/1993,14.5,441.39
4/5/1993,14.12,442.29
4/6/1993,14.24,441.16
4/7/1993,13.64,442.73
4/8/1993,12.83,441.84
4/12/1993,11.93,448.37
4/13/1993,11.7,449.22
4/14/1993,11.76,448.66
4/15/1993,10.96,448.4
4/16/1993,11.29,448.94
4/19/1993,12.06,447.46
4/20/1993,11.94,445.1
4/21/1993,12.11,443.63
4/22/1993,12.68,439.46
4/23/1993,13.36,437.03
4/26/1993,15.25,433.54
4/27/1993,13.93,438.01
4/28/1993,13.12,438.02
4/29/1993,12.8,438.89
4/30/1993,12.42,440.19
5/3/1993,12.9,442.46
5/4/1993,12.14,444.05
5/5/1993,12.38,444.52
5/6/1993,13.22,443.26
5/7/1993,13.01,442.31
5/10/1993,13.72,442.8
5/11/1993,13.35,444.36
5/12/1993,13.56,444.8
